doi,author_id,author_pos
10.1001/jama.295.1.90,"garfield, eugene [omid:ra/0610738701]",1
10.1002/asi.4630240406,"small, henry [omid:ra/06150114412]",1
10.1007/978-3-319-03524-6_29,"ciancarini, paolo [orcid:0000-0002-7958-9924 omid:ra/06906749]",1
10.1007/978-3-319-03524-6_29,"di iorio, angelo [omid:ra/061807433656]",2
10.1007/978-3-319-03524-6_29,"nuzzolese, andrea giovanni [orcid:0000-0003-2928-9496 omid:ra/06320323954]",3
10.1007/978-3-319-03524-6_29,"peroni, silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]",4
10.1007/978-3-319-03524-6_29,"vitali, fabio [orcid:0000-0002-7562-5203 omid:ra/0622011040459]",5
10.1007/978-3-540-89704-0_17,"peroni, silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]",1
10.1007/978-3-540-89704-0_17,"motta, enrico [orcid:0000-0003-0015-1952 omid:ra/061010578563]",2
10.1007/978-3-540-89704-0_17,"d’aquin, mathieu [omid:ra/062208578838]",3
10.1007/978-3-642-41242-4_6,"di iorio, angelo [omid:ra/062107753046]",1
10.1007/978-3-642-41242-4_6,"nuzzolese, andrea giovanni [orcid:0000-0003-2928-9496 omid:ra/06320323954]",2
10.1007/978-3-642-41242-4_6,"peroni, silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]",3
10.1007/bf02457980,"wouters, p. [omid:ra/061706323152]",1
10.1007/s10579-012-9211-2,"radev, dragomir r. [omid:ra/06301800952]",1
10.1007/s10579-012-9211-2,"muthukrishnan, pradeep [omid:ra/06301800953]",2
10.1007/s10579-012-9211-2,"qazvinian, vahed [omid:ra/06301800954]",3
10.1007/s10579-012-9211-2,"abu-jbara, amjad [omid:ra/06301800955]",4
10.1007/s11192-006-0124-y,"glänzel, wolfgang [omid:ra/061606407101]",1
10.1007/s11192-006-0124-y,"schlemmer, balázs [omid:ra/061606407102]",2
10.1007/s11192-006-0124-y,"schubert, andrás [orcid:0000-0001-8348-1775 omid:ra/061804773]",3
10.1007/s11192-006-0124-y,"thijs, bart [omid:ra/061606407103]",4
10.1007/s11192-009-0021-2,"franceschet, massimo [omid:ra/061606406187]",1
10.1016/j.jbi.2008.03.004,"belleau, françois [omid:ra/062102861785]",1
10.1016/j.jbi.2008.03.004,"nolin, marc-alexandre [omid:ra/062102861786]",2
10.1016/j.jbi.2008.03.004,"tourigny, nicole [omid:ra/062102861787]",3
10.1016/j.jbi.2008.03.004,"rigault, philippe [omid:ra/062102861788]",4
10.1016/j.jbi.2008.03.004,"morissette, jean [omid:ra/062102861789]",5
10.1016/j.websem.2012.08.001,"peroni, silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]",1
10.1016/j.websem.2012.08.001,"shotton, d m [orcid:0000-0001-5506-523x omid:ra/0621010775619]",2
10.1016/j.websem.2013.05.001,"baker, thomas [omid:ra/061704245774]",1
10.1016/j.websem.2013.05.001,"bechhofer, sean [orcid:0000-0002-5872-3573 omid:ra/0619010527143]",2
10.1016/j.websem.2013.05.001,"isaac, antoine [orcid:0000-0001-9767-6979 omid:ra/0614010933748]",3
10.1016/j.websem.2013.05.001,"miles, alistair [orcid:0000-0001-9018-4680 omid:ra/064013130258]",4
10.1016/j.websem.2013.05.001,"schreiber, guus [omid:ra/061704245775]",5
10.1016/j.websem.2013.05.001,"summers, ed [omid:ra/061704245776]",6
10.1023/a:1021919228368,"aksnes, dag w [orcid:0000-0002-1519-195x omid:ra/065010943397]",1
10.1038/35079151,"lawrence, steve [omid:ra/06150977322]",1
10.1038/35079151,"lawrence, steve [omid:ra/062201000525]",2
10.1038/35079151,steve lawrence [omid:ra/0626010988816],3
10.1038/493159a,"piwowar, heather [orcid:0000-0003-1613-5981 omid:ra/063011942103]",1
10.1038/495437a,"priem, jason [omid:ra/061301017804]",1
10.1038/502295a,"shotton, d m [orcid:0000-0001-5506-523x omid:ra/0621010775619]",1
10.1038/502298a,"hahnel, mark [orcid:0000-0003-4741-0309 omid:ra/064021985]",1
10.1042/bio03106023,"attwood, teresa k. [omid:ra/061308526336]",1
10.1042/bio03106023,"kell, douglas [orcid:0000-0001-5838-7963 omid:ra/06410293055]",2
10.1042/bio03106023,"mcdermott, philip [omid:ra/061308526337]",3
10.1042/bio03106023,"marsh, james [omid:ra/061308526338]",4
10.1042/bio03106023,"pettifer, steve [orcid:0000-0002-1809-5621 omid:ra/061509772]",5
10.1042/bio03106023,"thorne, david [omid:ra/061308526339]",6
10.1073/pnas.0407743101,"giles, c. lee [orcid:0000-0002-1931-585x omid:ra/061702666]",1
10.1073/pnas.0407743101,"councill, isaac g. [omid:ra/061708447978]",2
10.1087/2009202,"shotton, d m [orcid:0000-0001-5506-523x omid:ra/0621010775619]",1
10.1101/sqb.1972.036.01.015,"shotton, d m [orcid:0000-0001-5506-523x omid:ra/0621010775619]",1
10.1101/sqb.1972.036.01.015,"white, n. j. [omid:ra/061303483815]",2
10.1101/sqb.1972.036.01.015,"watson, h. c. [omid:ra/061303483816]",3
10.1108/eum0000000007123,"cronin, blaise [omid:ra/06190956292]",1
10.1108/jd-07-2012-0082,"liu, yuxian [orcid:0000-0001-9294-919x omid:ra/0617031996]",1
10.1108/jd-07-2012-0082,"rousseau, ronald [omid:ra/06180954257]",2
10.1108/jd-12-2013-0166,"peroni, silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]",1
10.1108/jd-12-2013-0166,"dutton, alexander [orcid:0000-0003-1448-3114 omid:ra/06180954031]",2
10.1108/jd-12-2013-0166,"gray, tanya [omid:ra/06180954032]",3
10.1108/jd-12-2013-0166,"shotton, david [omid:ra/06180954033]",4
10.1126/science.149.3683.510,"price, derek j. de solla [omid:ra/061301399625]",1
10.1136/bmj.a568,"davis, p. m [omid:ra/06609245086]",1
10.1136/bmj.a568,"lewenstein, b. v [orcid:0000-0002-1272-372x omid:ra/06350490742]",2
10.1136/bmj.a568,"simon, d. h [omid:ra/06609245087]",3
10.1136/bmj.a568,"booth, j. g [omid:ra/06609245088]",4
10.1136/bmj.a568,"connolly, m. j l [omid:ra/06609245089]",5
10.1136/bmj.b2680,"greenberg, s. a [omid:ra/06809262304]",1
10.1145/1217821.1226695,"casati, fabio [omid:ra/0670806970]",1
10.1145/1217821.1226695,"giunchiglia, fausto [omid:ra/0670806971]",2
10.1145/1217821.1226695,"marchese, maurizio [omid:ra/0670806972]",3
10.1145/1498765.1498780,"meyer, bertrand [orcid:0000-0002-5985-7434 omid:ra/0615033467]",1
10.1145/1498765.1498780,"choppy, christine [omid:ra/06207846616]",2
10.1145/1498765.1498780,"staunstrup, jørgen [omid:ra/06207846617]",3
10.1145/1498765.1498780,"van leeuwen, jan [omid:ra/06207846618]",4
10.1145/1816123.1816198,"baez, marcos [orcid:0000-0003-1666-2474 omid:ra/06909439237]",1
10.1145/1816123.1816198,"mussi, alejandro [omid:ra/061508834653]",2
10.1145/1816123.1816198,"casati, fabio [omid:ra/061508834654]",3
10.1145/1816123.1816198,"birukou, aliaksandr [orcid:0000-0002-4925-9131 omid:ra/0611038090]",4
10.1145/1816123.1816198,"marchese, maurizio [orcid:0000-0001-6485-1443 omid:ra/0611013989]",5
10.1145/2362499.2362502,"peroni, silvio [omid:ra/06609658687]",1
10.1145/2362499.2362502,"shotton, david [omid:ra/06609658688]",2
10.1145/2362499.2362502,"vitali, fabio [omid:ra/06609658689]",3
10.1145/2494266.2494271,"constantin, alexandru [omid:ra/06509597477]",1
10.1145/2494266.2494271,"pettifer, steve [orcid:0000-0002-1809-5621 omid:ra/061509772]",2
10.1145/2494266.2494271,"voronkov, andrei [omid:ra/06509597478]",3
10.1177/030631277400400102,"small, henry [omid:ra/062607453190]",1
10.1177/030631277400400102,"griffith, belver c. [omid:ra/062607453191]",2
10.1177/030631277500500106,"moravcsik, michael j. [omid:ra/06403627696]",1
10.1177/030631277500500106,"murugesan, poovanalingam [omid:ra/06403627697]",2
10.1186/1471-2105-6-s1-s1,"hirschman, lynette [omid:ra/06504419339]",1
10.1186/1471-2105-6-s1-s1,"yeh, alexander [omid:ra/06504419340]",2
10.1186/1471-2105-6-s1-s1,"blaschke, christian [omid:ra/06504419341]",3
10.1186/1471-2105-6-s1-s1,"valencia, alfonso [omid:ra/06504419342]",4
10.1186/1471-2105-8-17,"seringhaus, michael r [omid:ra/06404477443]",1
10.1186/1471-2105-8-17,"gerstein, mark b [omid:ra/06404477444]",2
10.1371/journal.pcbi.0010034,"bourne, philip [omid:ra/062405409378]",1
10.1371/journal.pcbi.1000361,"shotton, d m [orcid:0000-0001-5506-523x omid:ra/0621010775619]",1
10.1371/journal.pcbi.1000361,"portwin, katie [omid:ra/061305486457]",2
10.1371/journal.pcbi.1000361,"klyne, graham [omid:ra/061305486458]",3
10.1371/journal.pcbi.1000361,"miles, alistair [orcid:0000-0001-9018-4680 omid:ra/064013130258]",4
10.1371/journal.pntd.0000228,"reis, renato b. [omid:ra/062305700133]",1
10.1371/journal.pntd.0000228,"ribeiro, guilherme [orcid:0000-0002-6798-2059 omid:ra/0622011672840]",2
10.1371/journal.pntd.0000228,"felzemburgh, ridalva d. m. [omid:ra/062305700134]",3
10.1371/journal.pntd.0000228,"santana, francisco s. [omid:ra/062305700135]",4
10.1371/journal.pntd.0000228,"mohr, sharif [omid:ra/062305700136]",5
10.1371/journal.pntd.0000228,"melendez, astrid x. t. o. [omid:ra/062305700137]",6
10.1371/journal.pntd.0000228,"queiroz, adriano [omid:ra/062305700138]",7
10.1371/journal.pntd.0000228,"santos, andréia c. [omid:ra/062305700139]",8
10.1371/journal.pntd.0000228,"ravines, romy r. [omid:ra/062305700140]",9
10.1371/journal.pntd.0000228,"tassinari, wagner de souza [orcid:0000-0002-3799-1261 omid:ra/0615010710269]",10
10.1371/journal.pntd.0000228,"carvalho, marilia [orcid:0000-0002-9566-0284 omid:ra/0615010710069]",11
10.1371/journal.pntd.0000228,"reis, mitermayer g. [omid:ra/062305700141]",12
10.1371/journal.pntd.0000228,"ko, albert i. [orcid:0000-0001-9023-2339 omid:ra/0612010591819]",13
10.1371/journal.pone.0000308,"piwowar, heather [orcid:0000-0003-1613-5981 omid:ra/063011942103]",1
10.1371/journal.pone.0000308,"day, roger s. [omid:ra/062604605184]",2
10.1371/journal.pone.0000308,"fridsma, douglas b. [omid:ra/062604605185]",3
10.1523/jneurosci.0003-08.2008,"bergstrom, carl t. [orcid:0000-0002-2070-385x omid:ra/062108242]",1
10.1523/jneurosci.0003-08.2008,"west, j. d. [omid:ra/061401547731]",2
10.1523/jneurosci.0003-08.2008,"wiseman, m. a. [omid:ra/061401547732]",3
10.1525/bio.2010.60.5.2,"vision, todd j. [orcid:0000-0002-6133-2581 omid:ra/06270995615]",1
10.17615/cjkh-0b25,"piwowar, heather [orcid:0000-0003-1613-5981 omid:ra/063011942103]",1
10.17615/cjkh-0b25,"vision, todd j. [orcid:0000-0002-6133-2581 omid:ra/06270995615]",2
10.29173/istl2081,"fingerman, susan [omid:ra/068010674599]",1
10.3115/1610075.1610091,"teufel, simone [omid:ra/062108893031]",1
10.3115/1610075.1610091,"siddharthan, advaith [orcid:0000-0003-0796-8826 omid:ra/0613050025]",2
10.3115/1610075.1610091,"tidhar, dan [omid:ra/062108893032]",3
10.5210/fm.v2i4.522,"cameron, robert d. [omid:ra/062505995379]",1
10.5539/ass.v9n5p18,"chadegani, arezoo aghaei [orcid:0000-0002-0081-1044 omid:ra/06105238869]",1
10.5539/ass.v9n5p18,"salehi, hadi [orcid:0000-0001-8831-7253 omid:ra/067094358]",2
10.5539/ass.v9n5p18,"md, melor [orcid:0000-0001-7504-7143 omid:ra/06290559051]",3
10.5539/ass.v9n5p18,"farhadi, hadi [omid:ra/06105238907]",4
10.5539/ass.v9n5p18,"fooladi, masood [omid:ra/06105238908]",5
10.5539/ass.v9n5p18,"farhadi, maryam [orcid:0000-0002-8663-9213 omid:ra/0611024310]",6
10.5539/ass.v9n5p18,"ale ebrahim, nader [orcid:0000-0001-7091-4439 omid:ra/0617018816]",7
10.5860/crln.73.10.8846,"roemer, robin chin [omid:ra/06403251300]",1
10.5860/crln.73.10.8846,"borchardt, rachel [orcid:0000-0002-8464-1045 omid:ra/0626060718]",2
